  1                                                                             
  .01500  .01479  .01340  .01130  .01340  .01379  .01530  -.00001  -.00001  -.00001
  .01710  .01389  .01360  .01099  .01365  .01659  .02049  -.00001  -.00001  -.00001
  .01600  .01510  .01479  .01420  .01500  .01820  -.00001  -.00001  -.00001  -.00001
  .01600  .01630  .01640  .01649  .01700  .01949  -.00001  -.00001  -.00001  -.00001
  .01720  .01730  .01800  .01880  .01980  .02200  -.00001  -.00001  -.00001  -.00001
  7                                                                             
  .61963  .71973  .79980  .84473  .88965  .92480  .95996  .96973  .93994  .00000
  .57959  .67969  .74463  .80957  .85889  .90479  .93994  .97998  .99268  .00000
  .56396  .62988  .69678  .75195  .79980  .85889  .90967  .96484 1.02979  .00000
  .51953  .58154  .62988  .69189  .74365  .80371  .84961  .92969 1.00977  .00000
  .45068  .50977  .57764  .63086  .68994  .73975  .79980  .87988  .00000  .00000
  .42578  .45654  .50195  .56055  .61963  .67969  .73193  .00000  .00000  .00000
  .36963  .38965  .41797  .46094  .55469  .59473  .64600  .00000  .00000  .00000
  .36475  .37988  .41992  .46191  .51953  .54980  .00000  .00000  .00000  .00000
  .35986  .37988  .40967  .44971  .48975  .51953  .00000  .00000  .00000  .00000
  .34961  .37500  .40967  .43994  .46973  .50000  .00000  .00000  .00000  .00000
  .05499  .05520  .05000  .03850  .02950  .02399  .02100  .01900  .01820  -.00001
  .03550  .03740  .03339  .03000  .02750  .01980  .01600  .01299  .01250  -.00001
  .02350  .02260  .02000  .01974  .01620  .01659  .01500  .01199  .01150  -.00001
  .02070  .01880  .01530  .01590  .01440  .01279  .01270  .01099  .01180  -.00001
  .02209  .01890  .01534  .00950  .01241  .01170  .01199  .01369  -.00001  -.00001
  .02100  .01960  .01730  .01575  .01669  .01524  .01550  -.00001  -.00001  -.00001
  .02399  .02070  .01640  .01569  .01444  .01790  .01974  -.00001  -.00001  -.00001
  .02100  .01980  .01800  .01720  .01720  .02000  -.00001  -.00001  -.00001  -.00001
  .02100  .01980  .01929  .01910  .01980  .02200  -.00001  -.00001  -.00001  -.00001
  .02080  .02080  .02090  .02190  .02299  .02560  -.00001  -.00001  -.00001  -.00001
  8                                                                             
  .77979  .86475  .93994  .98779 1.03271 1.07959 1.11963 1.10986 1.06982  .00000
  .76953  .81494  .86865  .94971 1.01074 1.05469 1.09961 1.13867 1.13965  .00000
  .69971  .75586  .81982  .89990  .94482  .98975 1.01953 1.09961 1.13965  .00000
  .63965  .69580  .75781  .83154  .87158  .90967  .96094 1.02979 1.10986  .00000
  .55859  .62695  .67969  .73975  .78564  .84180  .89990  .95996  .00000  .00000
  .51953  .54980  .59961  .65967  .71973  .77979  .83496  .00000  .00000  .00000
  .45166  .46094  .48975  .51953  .60498  .69971  .75977  .00000  .00000  .00000
  .45459  .47461  .50977  .54980  .59961  .65479  .00000  .00000  .00000  .00000
  .44385  .46973  .50488  .53467  .57959  .61963  .00000  .00000  .00000  .00000
  .43994  .46094  .50000  .52979  .55957  .59961  .00000  .00000  .00000  .00000
  .11597  .11797  .11298  .10397  .09498  .08398  .07397  .06798  .06348  -.00001
  .07338  .06148  .05798  .05598  .04998  .04198  .03397  .03048  .02998  -.00001
  .04628  .04226  .03947  .03698  .03248  .03098  .02737  .02498  .02448  -.00001
  .03458  .03338  .02872  .02937  .02998  .02778  .02567  .02298  .02248  -.00001
  .03418  .03127  .02847  .02518  .02633  .02547  .02398  .02398  -.00001  -.00001
  .03563  .03238  .03017  .02868  .02813  .02698  .02457  -.00001  -.00001  -.00001
  .03998  .03608  .03038  .02898  .02277  .02852  .02773  -.00001  -.00001  -.00001
  .03648  .03348  .03048  .02898  .02798  .02988  -.00001  -.00001  -.00001  -.00001
  .03487  .03297  .03127  .03038  .03098  .03318  -.00001  -.00001  -.00001  -.00001
  .03397  .03297  .03258  .03368  .03497  .03718  -.00001  -.00001  -.00001  -.00001
  9                                                                             
  .89453  .98975 1.07568 1.10498 1.14453 1.16992 1.19873 1.18994 1.16455  .00000
  .86963  .94971 1.00879 1.07959 1.11963 1.15967 1.19971 1.22461 1.22998  .00000
  .83984  .92969  .99561 1.06055 1.10986 1.13965 1.16992 1.25586 1.27197  .00000
  .82373  .86279  .90283  .97559 1.01953 1.04980 1.09766 1.15283 1.22998  .00000
  .70996  .76953  .79980  .86963  .90967  .95996 1.00977 1.05957  .00000  .00000
